basename,iss,pyannote,speechbrain,silero,rvad,maxaccuracy,medaccuracy,BEST_DIFFICULTY,MED_DIFFICULTY
tv-FR2-20220610T070013-60,0.931819541077729,0.971213941109626,0.921293458714063,0.963218436634038,0.952193935527601,0.971213941109626,0.952193935527601,EASY,EASY
tv-FR2-20221011T151739-60,0.888021269079889,0.884318004350493,0.859278274459678,0.910870656478331,0.898414114934836,0.910870656478331,0.888021269079889,HARD,MEDIUM
tv-FR2-20221021T012411-60,0.916791374736413,0.987194748656554,0.983980684181142,0.945939051765186,0.630501326440378,0.987194748656554,0.945939051765186,EASY,EASY
tv-FR2-20221206T050843-60,0.883153551002679,0.933848548468834,0.904112122539226,0.934536306378049,0.815590385868385,0.934536306378049,0.904112122539226,MEDIUM,EASY
tv-FR2-20221217T193711-60,0.959920970928592,0.956277122142252,0.885478462299451,0.824177956534011,0.504357183178098,0.959920970928592,0.885478462299451,MEDIUM,MEDIUM
tv-FR3-20210602T145020-60,0.899694031776459,0.951614166697386,0.93993069072924,0.921867512072842,0.896910826851476,0.951614166697386,0.921867512072842,MEDIUM,EASY
tv-FR3-20210714T223745-60,0.928967357832067,0.986906506037588,0.935984812014043,0.971501091804931,0.965062242212725,0.986906506037588,0.965062242212725,EASY,EASY
tv-FR3-20210811T124503-60,0.815944229412141,0.90169712165601,0.822573415100647,0.824583538267433,0.973975151294827,0.973975151294827,0.824583538267433,EASY,MEDIUM
tv-FR3-20211207T190726-60,0.979130912336102,0.980589689023134,0.979130912336102,0.99184801263129,0.886798929086291,0.99184801263129,0.979130912336102,EASY,EASY
tv-FR3-20220725T151256-60,0.88348303844138,0.940384910809492,0.874898299788953,0.880500984981294,0.847842981330538,0.940384910809492,0.880500984981294,MEDIUM,MEDIUM
tv-FR3-20220821T140145-60,0.905130669761874,0.93917984548142,0.871107549211959,0.85933731115907,0.801302163622844,0.93917984548142,0.871107549211959,MEDIUM,MEDIUM
tv-FR3-20220906T003727-60,0.825933698730617,0.911243861936877,0.811548705798503,0.882577069622445,0.864137411112696,0.911243861936877,0.864137411112696,HARD,MEDIUM
tv-FR3-20220906T045538-60,0.874233374754479,0.909291447869482,0.862568663877968,0.950194412153766,0.967471038601836,0.967471038601836,0.909291447869482,EASY,EASY
tv-FR3-20221130T065106-60,0.934491978609625,0.897533834517617,0.915152759816076,0.900373599003735,0.755494102996118,0.934491978609625,0.900373599003735,MEDIUM,EASY
tv-FR4-20210116T005308-60,0.974447174447174,0.9749297999298,0.931818165750661,0.957037557037557,0.951298701298701,0.9749297999298,0.957037557037557,EASY,EASY
tv-FR4-20210305T100835-60,0.966393166235809,0.967359081712936,0.966580555324748,0.974804241129968,0.983627439961036,0.983627439961036,0.967359081712936,EASY,EASY
